check_name,rule,severity,message,n_fail,pct_fail
stake_consistency,(initial_stake_pct > 0 & final_stake_pct == 100) | initial_stake_pct == 0,info,Partial initial stake exists: 102/9472 rows (1.08%),102,1.08
value_sanity,offer_price_eur > 0 | is.na(offer_price_eur),error,Negative offer price: 1/10131 rows (0.01%),1,0.01
